book_name,chapter,verse,text,normalization
GEN,1,1,IN THE beginning God created the heaven and the earth.,"[""In the beginning, God created the heaven."", ""In the beginning, God created the earth.""]"
GEN,1,3,And God said: 'Let there be light.' And there was light.,"[""God said a command."", ""God commanded that light should exist."", ""Light came to exist.""]"
GEN,1,5,"And God called the light Day, and the darkness He called Night. And there was evening and there was morning, one day.","[""God named the light \""Day\""."", ""God named the darkness \""Night\""."", ""Evening came to exist."", ""Morning came to exist."", ""The period of evening and morning constituted one day.""]"
GEN,1,10,"And God called the dry land Earth, and the gathering together of the waters called He Seas; and God saw that it was good.","[""God named the dry land."", ""God called the dry land Earth."", ""God named the gathering together of the waters."", ""God called the gathering together of the waters Seas."", ""God observed what He had made."", ""God perceived that what He had made was good.""]"
GEN,1,9,"And God said: 'Let the waters under the heaven be gathered together unto one place, and let the dry land appear.' And it was so.","[""God said a command."", ""God commanded that the waters under the heaven should be gathered together unto one place."", ""God commanded that the dry land should appear."", ""The waters under the heaven were gathered together unto one place."", ""The dry land appeared.""]"
GEN,1,4,"And God saw the light, that it was good; and God divided the light from the darkness.","[""God saw the light."", ""God determined that the light was good."", ""God divided the light from the darkness.""]"
GEN,1,2,"Now the earth was unformed and void, and darkness was upon the face of the deep; and the spirit of God hovered over the face of the waters.","[""The earth was unformed."", ""The earth was void."", ""Darkness was upon the face of the deep."", ""The spirit of God hovered over the face of the waters.""]"
GEN,1,16,"And God made the two great lights: the greater light to rule the day, and the lesser light to rule the night; and the stars.","[""God made two lights."", ""The two lights were great."", ""God made a greater light."", ""The purpose of the greater light was to rule the day."", ""God made a lesser light."", ""The purpose of the lesser light was to rule the night."", ""God made the stars.""]"
GEN,1,8,"And God called the firmament Heaven. And there was evening and there was morning, a second day.","[""God called the firmament Heaven."", ""There was evening."", ""There was morning."", ""It was a second day.""]"
GEN,1,6,"And God said: 'Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.'","[""God said a command."", ""God commanded that a firmament should exist."", ""God commanded that this firmament should be in the midst of the waters."", ""God commanded that this firmament should divide the waters from the waters.""]"
